name,country,city,businessType
YAMBOL CHAMBER OF COMMERCE AND INDUSTRY,Bulgaria,YAMBOL,Other
BUSINESS INFORMATION AND CONSULTING CENTRE SANDANSKI ASSOCIATION,Bulgaria,SANDANSKI,Other
ARC CONSULTING EOOD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CHAMBER OF COMMERCE AND INDUSTRY VRATSA SDRUZHENIE,Bulgaria,VRATSA,Other
CHAMBER OF COMMERCE AND INDUSTRY OF  STARA ZAGORA BULGARIA*,Bulgaria,STARA ZAGORA,Other
PLOVDIV CHAMBER OF COMMERCE AND INDUSTRY,Bulgaria,PLOVDIV,Other
GEOLOGICHESKI INSTITUT PRI BAN ST.DIMITROV,Bulgaria,SOFIA,Research Organisations
AGENTSIYA ZA REGIONALNO IKONOMICHESKO RAZVITIE,Bulgaria,STARA ZAGORA,Other
INDUSTRIAL CLUSTER SREDNOGORIE,Bulgaria,SOFIA,Other
CLOUDSIGMA LTD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NATIONAL ASSOCIATION OF MUNICIPALITIES IN THE REPUBLIC OF BULGARIA,Bulgaria,SOFIA,Other
OBSHTINA VARNA,Bulgaria,VARNA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
NATSIONALNA ASOTSIASIA NA DOBROVOLTSITE V REPUBLIKA BULGARIA,Bulgaria,SOFIA,Other
GLAVNA DIREKTSIA POJARNA BEZOPASNOST I ZASHTITA NA NASELENIETO,Bulgaria,SOFIA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
BALGARSKA AGENTSIYA ZA RAZVITIE,Bulgaria,SOFIA,Other
INSTITUTE OF SOLID STATE PHYSICS BULGARIAN ACADEMY OF SCIENCES,Bulgaria,SOFIA,Research Organisations
ASAREL MEDET AD,Bulgaria,PANAGYURISHTE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Galen-N,Bulgaria,Sofia,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VENUSROUZES LABSOLUTIONS,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
JOHN ATANASOFF CENTER FOR BIO AND NANO PHOTONICS,Bulgaria,SOFIA,Research Organisations
TRANSMETRICS AD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CORES EOOD,Bulgaria,VARNA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EXECUTIVE ENVIRONMENT AGENCY,Bulgaria,SOFIA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
